id,fighter_name,weight_pounds,date_of_birth,height_feet,height_inches
1,Tom Aaron,155.0,1978-07-13,,
2,Papy Abedi,185.0,1978-06-30,5.0,11.0
3,Shamil Abdurakhimov,235.0,1981-09-02,6.0,3.0
4,Danny Abbadi,155.0,1983-07-03,5.0,11.0
5,Hiroyuki Abe,145.0,1970-02-09,5.0,6.0
6,Ricardo Abreu,185.0,1984-04-27,5.0,11.0
7,Daichi Abe,170.0,1991-11-27,5.0,11.0
8,David Abbott,265.0,1965-04-26,6.0,0.0
9,Klidson Abreu,205.0,1992-12-24,6.0,0.0
10,Daniel Acacio,180.0,1977-12-27,5.0,8.0
11,Scott Adams,225.0,,6.0,0.0
12,Juan Adams,265.0,1992-01-16,6.0,5.0
13,Anthony Adams,185.0,1988-01-13,6.0,1.0
14,Sam Adkins,225.0,1965-04-26,6.0,3.0
15,Israel Adesanya,185.0,1989-07-22,6.0,4.0
16,Zarrukh Adashev,125.0,1992-07-29,5.0,5.0
17,Marcelo Aguiar,170.0,1969-01-20,5.0,10.0
18,Nick Agallar,155.0,1979-01-13,5.0,8.0
19,Mariya Agapova,125.0,1997-04-07,5.0,6.0
20,Edwin Aguilar,185.0,1972-01-01,5.0,10.0
21,Fabio Aguiar,185.0,1988-02-10,6.0,0.0
22,Jessica Aguilar,115.0,1982-05-08,5.0,3.0
23,Kevin Aguilar,155.0,1988-09-07,5.0,7.0
24,Christian Aguilera,170.0,1991-11-25,5.0,9.0
25,Hitomi Akano,135.0,1974-07-27,5.0,4.0
26,Mike Aina,155.0,1980-12-25,5.0,9.0
27,Rostem Akman,170.0,1991-12-19,5.0,10.0
28,Omari Akhmedov,185.0,1987-10-12,6.0,0.0
29,Razak Al-Hassan,205.0,1982-05-14,6.0,2.0
30,Yoshihiro Akiyama,170.0,1975-07-29,5.0,10.0
31,Herdem Alacabek,205.0,1991-06-07,6.0,2.0
32,Mostapha Al-Turk,245.0,1973-07-14,6.0,2.0
33,Javi Alanis,135.0,,5.0,6.0
34,Heili Alateng,135.0,1991-12-14,5.0,5.0
35,Brett Albee,225.0,,,
36,Amir Albazi,125.0,1993-10-27,5.0,5.0
37,Wes Albritton,188.0,,5.0,10.0
38,John Albert,135.0,1986-10-13,5.0,8.0
39,Aleksandra Albu,115.0,1990-07-14,5.0,2.0
40,Junior Albini,264.0,1991-03-15,6.0,3.0
41,Israel Albuquerque,185.0,,,
42,Juan Alcain,,,,
43,Ildemar Alcantara,185.0,1982-11-18,6.0,2.0
44,Alfonso Alcarez,145.0,1970-06-10,5.0,3.0
45,Iuri Alcantara,135.0,1980-08-04,5.0,9.0
46,Gilbert Aldana,250.0,1977-08-25,6.0,1.0
47,Hector Aldana,170.0,1988-08-17,5.0,11.0
48,Irene Aldana,135.0,1988-03-26,5.0,9.0
49,JJ Aldrich,125.0,1992-09-29,5.0,5.0
50,Jose Aldo,135.0,1986-09-09,5.0,7.0
